id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj,neg_log10_padj
A2M,2066.10586979578,5241.9270618928,654.629784419325,0.124883421056787,-3.00134613072557,6.54740706179469e-19,2.66806837768134e-17,16.57380304444471
AACSP1,54.6912863384543,6.63202330505797,76.0509587977416,11.4672333463817,3.51944545494944,1.11133518470506e-05,8.61653574070552e-05,4.064667306228322
AARSD1,683.279651493615,465.984541709678,779.855255842032,1.67356464869151,0.742924282452692,0.0306316901117695,0.0903609074046264,1.0440194165426948
AATK,170.654756247495,23.3202925321123,236.136740120999,10.1258052314668,3.33996473446505,3.91179936427836e-10,6.25263437724675e-09,8.203936965943779
ABCA10,147.053790408602,298.636150729346,79.6838524882712,0.266825875881613,-1.90602951383748,0.000523534570143298,0.00277673386464955,2.5564657430991784
ABCA13,4513.73222138604,295.714835767477,6388.40661499429,21.6032672098249,4.43317761241314,1.8678803519029e-38,4.36399112882914e-36,35.36011614092157
ABCA2,1459.21538255149,725.502333543766,1785.31007099937,2.46079163147402,1.2991225021821,1.40582148634728e-05,0.000106754093150683,3.9716154643247097
ABCA3,623.695110393161,1898.32130570785,57.1945791421873,0.0301290297749992,-5.05270197423811,2.04636257481057e-24,1.35952182813718e-22,21.866613815098603
ABCA4,334.919449100468,28.3896950379705,471.154895350466,16.5959829691833,4.05276217671503,5.52710177228642e-20,2.40617741130158e-18,17.618672354590203
ABCA5,1182.29214615726,1752.77881703916,928.742514654191,0.529868632382861,-0.916293370874965,0.00265998468095355,0.0116815993914809,1.9324976915266006
ABCA6,178.231986106105,310.067979240688,119.638211379624,0.385845102975808,-1.37390629925503,0.00600491507247263,0.0234999719391182,1.6289326563109616
ABCA8,87.3050283392792,183.231592720197,44.6709997255378,0.243795292407638,-2.03625782654091,0.004609615466871,0.0186918107071443,1.7283486257463205
ABCB10,2232.2703284585,767.610630270941,2883.23019431964,3.75611029943912,1.90923942883764,9.21997485393773e-10,1.39876198595778e-08,7.85425617898869
ABCB6,895.444986422964,322.967569601221,1149.87939389929,3.56035559644298,1.83202133995706,3.95605442484335e-07,4.03316152199666e-06,5.394354384809348
ABCC1,6314.57677745825,3482.29036292204,7573.37073947435,2.17482459823351,1.12089905086352,4.4720886562971e-05,0.000302848979632719,3.5187738852353703
ABCC13,142.321866029009,4.74828924713444,203.465677932064,42.8503124688232,5.42123381954201,3.58537009176055e-17,1.23185583201714e-15,14.909440116053966
ABCC2,251.556423842495,157.785166468229,293.232538231058,1.85842905765227,0.894083616837434,0.0321709099288682,0.0941093103887467,1.0263674089804171
ABCC5,2360.07501827654,1535.98769620916,2726.33605030649,1.77497258411322,0.827796741197962,0.00670965192176018,0.0258111692204265,1.5881923219002194
ABCC6,124.146420683827,35.4293382625687,163.576235093275,4.61697121975586,2.20694673926514,7.74290465563303e-05,0.000493363806648472,3.3068327136817026
ABCC9,134.830002589089,429.384061565162,3.91708748861183,0.00912257309769143,-6.77634347872578,5.57351935847794e-13,1.27246896363426e-11,10.895352801593765
ABCD2,100.191751494761,192.242556310191,59.2802826879038,0.308361914373697,-1.69730350517667,0.00705324572385166,0.0269187036637497,1.5699458584612889
ABCD3,3456.29160337199,6623.53762901047,2048.62670308823,0.309294944459202,-1.692944842654,5.47723187988885e-08,6.40365608776329e-07,6.193572000175178
ABCF1,3861.07384084585,2477.81318486936,4475.85635461318,1.80637361280696,0.853096316738062,0.00397534844475981,0.0164433267921638,1.784010312020205
